LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Foundation,BsmtFinType1,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageCars,YrSold,SalePrice
65,8450,Reg,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,VinylSd,PConc,GLQ,856,1710,2,1,3,Gd,8,0,Attchd,2,2008,208500
80,9600,Reg,FR2,Veenker,1Fam,1Story,6,8,1976,1976,MetalSd,CBlock,ALQ,1262,1262,2,0,3,TA,6,1,Attchd,2,2007,181500
68,11250,IR1,Inside,CollgCr,1Fam,2Story,7,5,2001,2002,VinylSd,PConc,GLQ,920,1786,2,1,3,Gd,6,1,Attchd,2,2008,223500
60,9550,IR1,Corner,Crawfor,1Fam,2Story,7,5,1915,1970,Wd Sdng,BrkTil,ALQ,756,1717,1,0,3,Gd,7,1,Detchd,3,2006,140000
84,14260,IR1,FR2,NoRidge,1Fam,2Story,8,5,2000,2000,VinylSd,PConc,GLQ,1145,2198,2,1,4,Gd,9,1,Attchd,3,2008,250000
85,14115,IR1,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,1995,VinylSd,Wood,GLQ,796,1362,1,1,1,TA,5,0,Attchd,2,2009,143000
75,10084,Reg,Inside,Somerst,1Fam,1Story,8,5,2004,2005,VinylSd,PConc,GLQ,1686,1694,2,0,3,Gd,7,1,Attchd,2,2007,307000
,10382,IR1,Corner,NWAmes,1Fam,2Story,7,6,1973,1973,HdBoard,CBlock,ALQ,1107,2090,2,1,3,TA,7,2,Attchd,2,2009,200000
51,6120,Reg,Inside,OldTown,1Fam,1.5Fin,7,5,1931,1950,BrkFace,BrkTil,Unf,952,1774,2,0,2,TA,8,2,Detchd,2,2008,129900
50,7420,Reg,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,MetalSd,BrkTil,GLQ,991,1077,1,0,2,TA,5,2,Attchd,1,2008,118000
70,11200,Reg,Inside,Sawyer,1Fam,1Story,5,5,1965,1965,HdBoard,CBlock,Rec,1040,1040,1,0,3,TA,5,0,Detchd,1,2008,129500
85,11924,IR1,Inside,NridgHt,1Fam,2Story,9,5,2005,2006,WdShing,PConc,GLQ,1175,2324,3,0,4,Ex,11,2,BuiltIn,3,2006,345000
,12968,IR2,Inside,Sawyer,1Fam,1Story,5,6,1962,1962,HdBoard,CBlock,ALQ,912,912,1,0,2,TA,4,0,Detchd,1,2008,144000
91,10652,IR1,Inside,CollgCr,1Fam,1Story,7,5,2006,2007,VinylSd,PConc,Unf,1494,1494,2,0,3,Gd,7,1,Attchd,3,2007,279500
,10920,IR1,Corner,NAmes,1Fam,1Story,6,5,1960,1960,MetalSd,CBlock,BLQ,1253,1253,1,1,2,TA,5,1,Attchd,1,2008,157000
51,6120,Reg,Corner,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Wd Sdng,BrkTil,Unf,832,854,1,0,2,TA,5,0,Detchd,2,2007,132000
,11241,IR1,CulDSac,NAmes,1Fam,1Story,6,7,1970,1970,Wd Sdng,CBlock,ALQ,1004,1004,1,0,2,TA,5,1,Attchd,2,2010,149000
72,10791,Reg,Inside,Sawyer,Duplex,1Story,4,5,1967,1967,MetalSd,Slab,NA,0,1296,2,0,2,TA,6,0,CarPort,2,2006,90000
66,13695,Reg,Inside,SawyerW,1Fam,1Story,5,5,2004,2004,VinylSd,PConc,GLQ,1114,1114,1,1,3,Gd,6,0,Detchd,2,2008,159000
70,7560,Reg,Inside,NAmes,1Fam,1Story,5,6,1958,1965,BrkFace,CBlock,LwQ,1029,1339,1,0,3,TA,6,0,Attchd,1,2009,139000
101,14215,IR1,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,VinylSd,PConc,Unf,1158,2376,3,1,4,Gd,9,1,BuiltIn,3,2006,325300
57,7449,Reg,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Wd Sdng,PConc,Unf,637,1108,1,0,3,Gd,6,1,Attchd,1,2007,139400
75,9742,Reg,Inside,CollgCr,1Fam,1Story,8,5,2002,2002,VinylSd,PConc,Unf,1777,1795,2,0,3,Gd,7,1,Attchd,2,2008,230000
44,4224,Reg,Inside,MeadowV,TwnhsE,1Story,5,7,1976,1976,CemntBd,PConc,GLQ,1040,1060,1,0,3,TA,6,1,Attchd,2,2007,129900
,8246,IR1,Inside,Sawyer,1Fam,1Story,5,8,1968,2001,Plywood,CBlock,Rec,1060,1060,1,0,3,Gd,6,1,Attchd,1,2010,154000
110,14230,Reg,Corner,NridgHt,1Fam,1Story,8,5,2007,2007,VinylSd,PConc,Unf,1566,1600,2,0,3,Gd,7,1,Attchd,3,2009,256300
60,7200,Reg,Corner,NAmes,1Fam,1Story,5,7,1951,2000,Wd Sdng,CBlock,BLQ,900,900,1,0,3,Gd,5,0,Detchd,2,2010,134800
98,11478,Reg,Inside,NridgHt,1Fam,1Story,8,5,2007,2008,VinylSd,PConc,GLQ,1704,1704,2,0,3,Gd,7,1,Attchd,3,2010,306000
47,16321,IR1,CulDSac,NAmes,1Fam,1Story,5,6,1957,1997,MetalSd,CBlock,BLQ,1484,1600,1,0,2,TA,6,2,Attchd,1,2006,207500
60,6324,IR1,Inside,BrkSide,1Fam,1Story,4,6,1927,1950,MetalSd,BrkTil,Unf,520,520,1,0,1,Fa,4,0,Detchd,1,2008,68500
,8544,IR1,CulDSac,Sawyer,1Fam,1Story,5,6,1966,2006,HdBoard,CBlock,Unf,1228,1228,1,1,3,Gd,6,0,Attchd,1,2008,149350
85,11049,Reg,Corner,CollgCr,1Fam,1Story,8,5,2007,2007,VinylSd,PConc,Unf,1234,1234,2,0,3,Gd,7,0,Attchd,2,2008,179900
70,10552,IR1,Inside,NAmes,1Fam,1Story,5,5,1959,1959,BrkFace,CBlock,Rec,1398,1700,1,1,4,Gd,6,1,Attchd,2,2010,165500
60,7313,Reg,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,MetalSd,PConc,GLQ,1561,1561,2,0,2,Ex,6,1,Attchd,2,2007,277500
108,13418,Reg,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,VinylSd,PConc,Unf,1117,2452,3,1,4,Gd,9,1,BuiltIn,3,2006,309000
112,10859,Reg,Corner,CollgCr,1Fam,1Story,5,5,1994,1995,VinylSd,PConc,Unf,1097,1097,1,1,3,TA,6,0,Attchd,2,2009,145000
74,8532,Reg,Inside,NAmes,1Fam,1Story,5,6,1954,1990,Wd Sdng,CBlock,Rec,1297,1297,1,0,3,TA,5,1,Attchd,2,2009,153000
68,7922,Reg,Inside,NAmes,1Fam,1Story,5,7,1953,2007,VinylSd,CBlock,GLQ,1057,1057,1,0,3,Gd,5,0,Detchd,1,2010,109000
65,6040,Reg,Inside,Edwards,Duplex,1Story,4,5,1955,1955,AsbShng,PConc,NA,0,1152,2,0,2,Fa,6,0,NA,0,2008,82000
84,8658,Reg,Inside,NAmes,1Fam,1Story,6,5,1965,1965,Wd Sdng,CBlock,Rec,1088,1324,2,0,3,TA,6,1,Attchd,2,2006,160000
115,16905,Reg,Inside,Timber,1Fam,1Story,5,6,1959,1959,VinylSd,CBlock,BLQ,1350,1328,1,1,2,TA,5,2,Attchd,1,2007,170000
,9180,IR1,CulDSac,SawyerW,1Fam,SFoyer,5,7,1983,1983,HdBoard,CBlock,ALQ,840,884,1,0,2,Gd,5,0,Attchd,2,2007,144000
,9200,IR1,CulDSac,CollgCr,1Fam,1Story,5,6,1975,1980,VinylSd,CBlock,LwQ,938,938,1,0,3,TA,5,0,Detchd,1,2008,130250
